Acc mean,Acc std,New observation,Normality,Time
,0.0,,True,2004-02-19 11:26:53
,,1.0,True,2004-02-19 12:16:18
,,1.0,True,2004-02-19 12:48:29
,,1.0,True,2004-02-19 14:11:51
,,0.75,True,2004-02-19 14:36:16
,,0.8,True,2004-02-19 15:01:30
,,0.8333333333333334,True,2004-02-19 16:24:30
,,0.8571428571428571,True,2004-02-19 16:56:35
,,0.875,True,2004-02-19 17:41:38
,,0.7777777777777778,True,2004-02-20 10:18:41
,,0.7,True,2004-02-20 12:10:01
,,0.7272727272727273,True,2004-02-20 12:21:02
,,0.6666666666666666,True,2004-02-20 12:35:28
,,0.6153846153846154,True,2004-02-20 12:43:34
,,0.6428571428571429,True,2004-02-20 13:12:00
,,0.6,True,2004-02-20 13:26:46
,,0.625,True,2004-02-20 13:28:01
,,0.6470588235294118,True,2004-02-20 15:06:42
,,0.6666666666666666,True,2004-02-20 15:30:19
,,0.6842105263157895,True,2004-02-20 15:35:37
,,0.7,True,2004-02-20 15:42:02
,,0.6666666666666666,True,2004-02-20 15:55:32
,,0.6363636363636364,True,2004-02-20 16:23:48
,,0.6086956521739131,True,2004-02-20 17:22:15
,,0.5833333333333334,True,2004-02-20 17:25:48
,,0.6,True,2004-02-20 17:50:41
,,0.5769230769230769,True,2004-02-23 10:31:20
,,0.5925925925925926,True,2004-02-23 11:10:59
,,0.6071428571428571,True,2004-02-23 11:26:02
,,0.6206896551724138,True,2004-02-23 12:04:11
,,0.6333333333333333,True,2004-02-23 12:16:10
,,0.6451612903225806,True,2004-02-23 12:22:13
,,0.65625,True,2004-02-23 12:32:54
,,0.6363636363636364,True,2004-02-23 13:08:10
,,0.6176470588235294,True,2004-02-23 13:09:42
,,0.6285714285714286,True,2004-02-23 13:19:16
,,0.6111111111111112,True,2004-02-23 14:59:07
,,0.6216216216216216,True,2004-02-23 15:24:40
,,0.631578947368421,True,2004-02-23 15:29:21
,,0.6410256410256411,True,2004-02-23 16:19:12
,,0.625,True,2004-02-23 16:36:50
,,0.6341463414634146,True,2004-02-23 17:09:08
,,0.6190476190476191,True,2004-02-23 17:19:46
,,0.6046511627906976,True,2004-02-23 17:40:09
,,0.6136363636363636,True,2004-02-24 11:20:02
,,0.6222222222222222,True,2004-02-24 12:27:21
,,0.6086956521739131,True,2004-02-24 12:31:14
,,0.6170212765957447,True,2004-02-24 13:41:15
,,0.625,True,2004-02-24 13:47:09
,,0.6326530612244898,True,2004-02-24 13:59:40
,,0.64,True,2004-02-24 14:06:48
,,0.64,True,2004-02-24 14:30:09
,,0.64,True,2004-02-24 15:52:15
,,0.64,True,2004-02-24 15:52:48
,,0.66,True,2004-02-24 16:07:02
,,0.64,True,2004-02-24 16:29:24
,,0.62,True,2004-02-24 17:05:21
,,0.62,True,2004-02-24 17:57:15
,,0.62,True,2004-02-24 17:58:45
,,0.64,True,2004-02-25 10:04:27
,,0.66,True,2004-02-25 10:40:53
,,0.64,True,2004-02-25 10:49:15
,,0.66,True,2004-02-25 11:34:39
,,0.66,True,2004-02-25 13:05:57
,,0.66,True,2004-02-25 14:18:25
,,0.68,True,2004-02-25 14:37:00
,,0.66,True,2004-02-25 14:49:15
,,0.66,True,2004-02-25 14:56:22
,,0.66,True,2004-02-25 15:25:02
,,0.64,True,2004-02-25 16:15:01
,,0.64,True,2004-02-25 16:16:47
,,0.66,True,2004-02-25 17:58:48
,,0.68,True,2004-02-25 17:59:51
,,0.7,True,2004-02-26 10:47:07
,,0.72,True,2004-02-26 11:34:24
,,0.72,True,2004-02-26 11:36:03
,,0.74,True,2004-02-26 12:22:10
,,0.74,True,2004-02-26 12:32:38
,,0.74,True,2004-02-26 12:43:14
,,0.72,True,2004-02-26 13:38:36
,,0.72,True,2004-02-26 14:13:20
,,0.7,True,2004-02-26 14:19:03
,,0.7,True,2004-02-26 14:25:42
,,0.72,True,2004-02-26 14:37:31
,,0.72,True,2004-02-26 14:56:24
,,0.7,True,2004-02-26 15:17:56
,,0.72,True,2004-02-26 15:56:39
,,0.72,True,2004-02-26 16:16:19
,,0.7,True,2004-02-26 16:59:00
,,0.68,True,2004-02-26 17:13:49
,,0.68,True,2004-02-27 10:05:36
,,0.66,True,2004-02-27 10:18:54
,,0.66,True,2004-02-27 11:25:33
,,0.68,True,2004-02-27 11:40:26
,,0.66,True,2004-02-27 12:12:19
,,0.64,True,2004-02-27 13:33:51
,,0.64,True,2004-02-27 14:39:28
,,0.62,True,2004-02-27 14:40:06
,,0.6,True,2004-02-27 14:59:12
,,0.6,True,2004-02-27 14:59:12
,,0.6,True,2004-02-27 15:19:36
0.6730551637501122,0.07976322471497299,0.6,True,2004-02-27 15:38:01
0.6690551637501122,0.07301104934824713,0.6,True,2004-02-27 15:39:25
0.6650551637501121,0.065322696185423,0.58,False,2004-02-27 16:01:39
0.6608551637501122,0.05656746425670874,0.56,False,2004-02-27 16:06:48
0.6589551637501124,0.056731980704752834,0.58,False,2004-02-27 16:20:25
0.6567551637501126,0.055471437291501134,0.6,False,2004-02-27 17:13:35
0.654421830416779,0.05283984194838127,0.6,False,2004-02-27 17:59:47
0.6518504018453504,0.049031580249083634,0.58,False,2004-03-01 11:07:38
0.6489004018453506,0.04414816794171527,0.58,False,2004-03-01 11:18:37
0.6469226240675728,0.04273789888546056,0.58,False,2004-03-01 11:20:56
0.6457226240675727,0.0429150591157233,0.58,False,2004-03-01 11:46:50
0.6442498967948453,0.04261717744175172,0.58,False,2004-03-01 12:16:32
0.6433832301281788,0.04303171015259866,0.6,False,2004-03-01 13:21:57
0.6432293839743326,0.043158848829714734,0.6,False,2004-03-01 13:38:46
0.6428008125457612,0.043372675379670676,0.58,False,2004-03-01 14:07:20
0.6426008125457612,0.04361501226193334,0.6,True,2004-03-01 14:17:22
0.6423508125457612,0.04378649564513557,0.6,True,2004-03-01 14:20:34
0.6418802243104671,0.04398579324228358,0.6,True,2004-03-01 15:51:07
0.6412135576438004,0.044110105614752884,0.62,True,2004-03-01 16:05:37
0.6405714523806426,0.043946579790752165,0.62,True,2004-03-01 16:19:22
0.6397714523806425,0.043584127834728724,0.6,True,2004-03-01 16:32:11
