Dataset,Classifier,Window size,Frequency of drop,Average recovery speed,Normalized recovery speed,Max performance drop,Average performance drop,Stability of performance
BPIC 2015_1,efdt,50,0.24,17.38,0.35,0.26,0.01,0.02
BPIC 2015_1,hatc,200,0.06,38.0,0.19,0.01,0.0,0.05
BPIC 2015_1,htc,200,0.12,10.55,0.05,0.03,0.01,0.04
BPIC 2015_1,hatc,50,0.24,16.69,0.33,0.26,0.01,0.02
BPIC 2015_1,htc,50,0.17,9.81,0.2,0.26,0.01,0.02
BPIC 2015_1,efdt,200,0.18,165.0,0.82,0.05,0.02,0.05
BPIC 2017,hatc,50,0.28,12.15,0.24,0.61,0.06,0.07
BPIC 2017,efdt,200,0.22,19.46,0.1,0.42,0.09,0.12
BPIC 2017,hatc,200,0.21,15.93,0.08,0.42,0.09,0.12
BPIC 2017,htc,200,0.18,8.58,0.04,0.27,0.07,0.11
BPIC 2017,efdt,50,0.28,10.35,0.21,0.6,0.06,0.08
BPIC 2017,htc,50,0.2,7.38,0.15,0.29,0.06,0.08
IRO5K Baseline,efdt,50,0.28,16.6,0.33,0.08,0.03,0.08
IRO5K Baseline,efdt,200,0.19,13.5,0.07,0.09,0.04,0.13
IRO5K Baseline,hatc,50,0.25,3.52,0.07,0.09,0.02,0.08
IRO5K Baseline,htc,50,0.24,3.18,0.06,0.07,0.02,0.08
IRO5K Baseline,htc,200,0.12,11.33,0.06,0.1,0.04,0.13
IRO5K Baseline,hatc,200,0.17,16.0,0.08,0.13,0.05,0.12
IRO5K Drift 1,htc,50,0.22,3.83,0.08,0.1,0.02,0.06
IRO5K Drift 1,efdt,200,0.12,7.92,0.04,0.09,0.03,0.08
IRO5K Drift 1,hatc,200,0.14,5.5,0.03,0.1,0.03,0.09
IRO5K Drift 1,hatc,50,0.22,6.03,0.12,0.08,0.03,0.06
IRO5K Drift 1,htc,200,0.14,4.95,0.02,0.1,0.02,0.08
IRO5K Drift 1,efdt,50,0.24,8.05,0.16,0.08,0.03,0.05
IRO5K Drift 2,htc,50,0.23,4.71,0.09,0.13,0.03,0.06
IRO5K Drift 2,htc,200,0.15,10.55,0.05,0.12,0.04,0.09
IRO5K Drift 2,hatc,50,0.3,6.81,0.14,0.15,0.03,0.06
IRO5K Drift 2,hatc,200,0.2,9.73,0.05,0.14,0.04,0.1
IRO5K Drift 2,efdt,50,0.27,8.96,0.18,0.09,0.03,0.05
IRO5K Drift 2,efdt,200,0.27,8.38,0.04,0.09,0.03,0.08
IRO5K Drift 3,htc,50,0.2,4.6,0.09,0.1,0.03,0.05
IRO5K Drift 3,hatc,200,0.16,6.87,0.03,0.16,0.04,0.08
IRO5K Drift 3,efdt,200,0.2,11.09,0.06,0.28,0.07,0.09
IRO5K Drift 3,efdt,50,0.29,8.45,0.17,0.13,0.03,0.05
IRO5K Drift 3,htc,200,0.12,5.75,0.03,0.1,0.03,0.07
IRO5K Drift 3,hatc,50,0.24,5.79,0.12,0.14,0.03,0.05
